"Story","Title","Result","Date","Stability","Duration (s)"
"Title of your feature","Registrar usuario plataforma Farmatodo","FAILURE","2019-05-15T20:19:20.812-05:00[America/Bogota]","0.0","54.37"
"Title of your feature","Agregar Productos al carrito","SUCCESS","2019-05-15T20:20:16.42-05:00[America/Bogota]","0.0","40.47"
